Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
B2ALNI_A, -651.047649764, 80033.968752, 4457.86753376, -154875.333426, 154572.616871, -154875.333426, -52652.7302266, 1091.51394217, 49075.5498722, 154572.616871
B2ALNI_B, -0.155909841727, 30.6425786677, 0.89272942152, -58.6879151401, 61.231053165, -61.7484733874, -21.4160917169, -0.205946838299, 20.6329484779, 59.7359558897
B2ALVA_A, 794.557262482, 99366.0877355, 2747.54128348, -187931.046016, 193046.79934, -191999.566704, -67451.1270962, 1603.42613222, 71020.2160546, 192848.929648
B2ALVA_B, 1.2372408791, 29.6110284119, 0.82962895618, -62.209560299, 53.0245039955, -58.9887934175, -18.9790949125, 1.51926511302, 21.4370321745, 58.1219666859
B2NIVA_A, -409.310471704, 81193.6355932, 4766.52338369, -173178.334472, 148347.880547, -162783.139623, -53681.7671462, -2832.31691631, 53625.2031385, 162007.942299
B2NIVA_B, 0.406953095854, 28.6325008267, 0.844205350323, -57.1162919154, 55.599773128, -57.3929277204, -19.1873750682, 1.49592059423, 20.0705435104, 55.599773128
LB2ALNI_A, 2850.70891649, 98785.2653979, 2931.50707544, -183749.063323, 203066.122538, -193817.929028, -63058.1493902, 5929.85293106, 66139.1895533, 198252.660112
LB2ALNI_B, -0.478877876765, 29.6692466282, 0.873308243632, -57.2714806709, 59.3334598023, -57.957133882, -19.995040644, -0.483258805511, 19.488661085, 58.8261649442
LB2ALVA_A, -1062.0025965, 161299.569279, 9325.32743215, -310342.446041, 298726.544514, -303951.125708, -116156.93258, 4911.19032566, 114348.341375, 311756.653391
LB2NIVA_A, -325.719194397, 99986.1517023, 3067.65971561, -191421.868504, 208114.283802, -200678.820502, -65983.2922105, 747.02072094, 62325.6154504, 200953.631888
LB2NIVA_B, 0.864420683195, 28.9674030188, 0.855080727257, -51.6396717607, 59.8864019673, -54.0584665646, -19.5567160707, 2.05938784552, 20.3847272103, 57.7495882665
