Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
FCCBMAGNNI, 0.776615747546, 0.779215216043, 0.0399862888984, 0.00291566714203, 2.3627463384, 0.0245000708982, 0.216607453228, 0.517785970053, 1.09202606205, 2.95414240711
FCCTCALNI0, -355.178035211, 1884.57392271, 66.124908177, -3803.23041099, 3362.2624251, -3803.23041099, -1649.30304657, -397.221199301, 886.805368723, 3376.28409918
FCCTCALNI1, 125.837198384, 2078.38680924, 65.4103591522, -3945.31254092, 3974.01048771, -3881.94380902, -1331.63783265, 208.612639846, 1627.78096849, 4129.37980586
L12UALNI_A, -5195.75208891, 97673.7388761, 3082.89603999, -201320.642621, 180199.360427, -199384.719267, -70152.8116247, -3943.90828819, 61089.6990429, 186634.72098
L12UALNI_B, -4.30083727628, 105.476700701, 3.13144899685, -207.335240088, 207.675021092, -211.443428164, -76.242583812, -3.06939321434, 62.7401251837, 206.064509588
