Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
FCCBMAGNNI, 0.774240458378, 0.823982449966, 0.0400386806942, 0.00063937911719, 2.49427632795, 0.0215724098322, 0.212335152254, 0.486567959838, 1.04966458291, 3.00762119134
FCCTCALNI0, -340.829232289, 1995.49367126, 73.9304899917, -4316.41672045, 3438.13718505, -4080.16194217, -1733.37020434, -332.910863965, 967.39164761, 3749.74864873
FCCTCALNI1, 142.398551664, 2007.07938809, 63.8443813703, -3471.44590807, 4208.30800321, -3740.43281561, -1278.25016229, 131.873928469, 1600.55451266, 3998.74614474
L12UALNI_A, 4747.17471862, 102194.995037, 3442.49555012, -201365.614496, 189854.292045, -198237.586667, -63713.7711816, 4827.19380229, 75993.5336094, 203039.633498
L12UALNI_B, -6.62754128895, 102.086224839, 2.87524712683, -209.437084161, 187.004858478, -202.173052592, -73.700163558, -6.94161217251, 60.5062337859, 200.550440168
